Player Name,School Name,Region,Team,Year
Tavis Cameron,Webster University,VIII,Second,2022
Colin Iverson,Calvin University,VIII,Second,2022
Joey Sopikiotis,Wheaton College (Ill.),VIII,Second,2022
Angel Barriga,North Park University,VIII,Second,2022
Alessandro D'Argento,Wheaton College (Ill.),VIII,Second,2022
Mickey Reilly,Carthage College,VIII,Second,2022
Mason Smith,Calvin University,VIII,Second,2022
John Cronnolly,Dominican University,VIII,Second,2022
Isak Flo,North Park University,VIII,Second,2022
Jared McPeek,Greenville University,VIII,Second,2022
Wesley Sanders,Gustavus Adolphus College,IX,First,2022
Ethan Andersen,University of Wisconsin-Eau Claire,IX,First,2022
Otis Anderson,Gustavus Adolphus College,IX,First,2022
Liam Peterson,Bethany Lutheran College,IX,First,2022
Robi Buzakovic,St. Olaf College,IX,First,2022
Victor Gaulmin,St. Olaf College,IX,First,2022
Owen Johnson,Gustavus Adolphus College,IX,First,2022
Shea Bechtel,St. Olaf College,IX,First,2022
Nathan Donovan,University of Wisconsin-Eau Claire,IX,First,2022
Blake Perry,University of Wisconsin-Superior,IX,First,2022
Marcos Vila,Luther College,IX,First,2022
Spencer Banks,University of Wisconsin-Eau Claire,IX,Second,2022
Josh Bellamy,University of Wisconsin-Superior,IX,Second,2022
Michael Brandt,Loras College,IX,Second,2022
Drew Collins,Augsburg University,IX,Second,2022
Baraka Ellie,Simpson College,IX,Second,2022
Antonio Lima,Bethany Lutheran College,IX,Second,2022
Nick Zuchowski,Augsburg University,IX,Second,2022
Jack Gentilli,University of Wisconsin-Platteville,IX,Second,2022
